CustomerID,Lookalikes
C0042,"[('C0131', 0.4929281658168485), ('C0083', 0.5066512792711049), ('C0176', 0.6193381526712348)]"
C0043,"[('C0088', 0.5292838790900287), ('C0186', 0.5505871254534637), ('C0178', 0.6745335851288934)]"
C0044,"[('C0066', 0.5123770563185011), ('C0127', 0.5134111272979051), ('C0089', 0.5166813730986476)]"
C0045,"[('C0145', 0.7514192140963808), ('C0162', 0.7595885998344143), ('C0173', 0.7612322834034564)]"
C0046,"[('C0009', 0.7253886534218835), ('C0194', 0.7287336428705302), ('C0059', 0.7402480473985862)]"
C0047,"[('C0019', 0.635022338359355), ('C0157', 0.6943760256647586), ('C0036', 0.747681499125298)]"
C0048,"[('C0181', 0.6524154673112356), ('C0040', 0.7087209750773548), ('C0190', 0.7308469018962965)]"
C0049,"[('C0048', 0.5100324821681639), ('C0017', 0.5254757670188557), ('C0035', 0.6875857064031778)]"
C0050,"[('C0115', 0.5137060749727657), ('C0185', 0.5151246030521865), ('C0186', 0.5176941388734628)]"
C0051,"[('C0053', 0.5974778821129174), ('C0100', 0.6800322846317146), ('C0042', 0.7379933944589926)]"
C0052,"[('C0032', 0.5304100148384477), ('C0129', 0.5327766849944522), ('C0137', 0.7211770611951887)]"
C0053,"[('C0042', 0.6359395765802127), ('C0179', 0.7152650343171765), ('C0100', 0.7295843316873043)]"
C0054,"[('C0200', 0.723886558472592), ('C0090', 0.7528124053201242), ('C0093', 0.754486799044199)]"
C0055,"[('C0025', 0.7249815247795848), ('C0154', 0.750524960557541), ('C0098', 0.757702951721382)]"
C0056,"[('C0115', 0.5161260946096153), ('C0092', 0.5213652089206848), ('C0142', 0.5271627743842128)]"
C0057,"[('C0081', 0.7432313914940455), ('C0114', 0.7598887981168905), ('C0182', 0.7665621436690746)]"
C0058,"[('C0021', 0.5263348964911583), ('C0016', 0.5331829170053811), ('C0034', 0.7593709476686894)]"
C0059,"[('C0009', 0.7177209226980199), ('C0067', 0.7393933530114595), ('C0047', 0.7402480473985862)]"
C0060,"[('C0089', 0.5805475805947939), ('C0132', 0.5844849202095295), ('C0015', 0.6527957188041884)]"
C0061,"[('C0061', 0.5735187468440659), ('C0164', 0.5826600053908774), ('C0132', 0.6388858473057332)]"
C0062,"[('C0011', 0.5534962589284746), ('C0062', 0.5674016296217492), ('C0132', 0.5845674532619908)]"
C0063,"[('C0167', 0.5280237455103912), ('C0119', 0.5289003103602483), ('C0015', 0.5326884345934098)]"
C0064,"[('C0114', 0.5165454711264923), ('C0172', 0.530787604433428), ('C0127', 0.6143568649468912)]"
C0065,"[('C0156', 0.52010448193261), ('C0060', 0.5283365936076615), ('C0019', 0.722672920047255)]"
C0066,"[('C0092', 0.5159076369707791), ('C0127', 0.5227591751024605), ('C0010', 0.539445310132246)]"
C0067,"[('C0009', 0.6685446341850609), ('C0122', 0.6785240916728966), ('C0060', 0.7393933530114595)]"
C0068,"[('C0109', 0.5047239600122955), ('C0068', 0.5197509125163131), ('C0156', 0.5280753708460915)]"
C0069,"[('C0089', 0.5315967416454466), ('C0199', 0.5509020760405972), ('C0197', 0.6192382720271589)]"
C0070,"[('C0166', 0.5248075654393705), ('C0020', 0.6809423696609302), ('C0024', 0.6980083747653208)]"
C0071,"[('C0192', 0.5322107796613974), ('C0133', 0.5323661978203702), ('C0026', 0.5325803768483389)]"
C0072,"[('C0048', 0.5281752383969667), ('C0098', 0.5300796262082292), ('C0056', 0.5313386664275527)]"
C0073,"[('C0072', 0.5264572415235425), ('C0132', 0.5537859710206938), ('C0011', 0.5634412789062266)]"
C0074,"[('C0132', 0.5110109197392243), ('C0103', 0.5278160746139633), ('C0135', 0.5309761593957534)]"
C0075,"[('C0170', 0.6936952187532929), ('C0141', 0.7219043856719594), ('C0018', 0.7473636860729573)]"
C0076,"[('C0053', 0.5277311231155944), ('C0032', 0.532750123487465), ('C0187', 0.5700199964655035)]"
C0077,"[('C0130', 0.5115075736897912), ('C0033', 0.5230784269921123), ('C0083', 0.6803816910056052)]"
C0078,"[('C0110', 0.5320283228104222), ('C0142', 0.5593943225860247), ('C0186', 0.5604109850088752)]"
C0079,"[('C0160', 0.4961309861840032), ('C0196', 0.5173393532504733), ('C0139', 0.7608127412338399)]"
C0080,"[('C0128', 0.7467992315418197), ('C0110', 0.753075796478005), ('C0097', 0.7641725999597109)]"
C0081,"[('C0111', 0.7241786980864356), ('C0058', 0.7432313914940455), ('C0182', 0.7435430459274691)]"
C0082,"[('C0113', 0.7369962275900843), ('C0104', 0.7608496363453401), ('C0188', 0.7659154141154658)]"
C0083,"[('C0072', 0.5321992739216218), ('C0120', 0.532367297246406), ('C0078', 0.6803816910056052)]"
C0084,"[('C0090', 0.5082100806563075), ('C0136', 0.5178905535509508), ('C0093', 0.5205076725596146)]"
C0085,"[('C0129', 0.523636876445936), ('C0177', 0.5299099628935842), ('C0146', 0.5325304990074418)]"
C0086,"[('C0164', 0.581625441075275), ('C0054', 0.5945482066579226), ('C0179', 0.7232664120994803)]"
C0087,"[('C0165', 0.6752142127926591), ('C0155', 0.7072727811141044), ('C0099', 0.7174738513630685)]"
C0088,"[('C0128', 0.5188042960697645), ('C0044', 0.5292838790900287), ('C0186', 0.5510792431428263)]"
C0089,"[('C0070', 0.5315967416454466), ('C0061', 0.5805475805947939), ('C0015', 0.7489058697276187)]"
C0090,"[('C0200', 0.7104667232384698), ('C0055', 0.7528124053201242), ('C0093', 0.7539205875830648)]"
C0091,"[('C0169', 0.481944361615635), ('C0195', 0.5077690926133273), ('C0096', 0.5591344390329238)]"
C0092,"[('C0146', 0.5302790831754612), ('C0115', 0.5308415511276048), ('C0142', 0.542237811251133)]"
C0093,"[('C0200', 0.6750442804184087), ('C0091', 0.7539205875830648), ('C0055', 0.754486799044199)]"
C0094,"[('C0059', 0.5091235479601632), ('C0016', 0.510316664920047), ('C0033', 0.5146106059225435)]"
C0095,"[('C0197', 0.5270312729231585), ('C0150', 0.5301016058249866), ('C0130', 0.5310961854145619)]"
C0096,"[('C0171', 0.530632941241314), ('C0153', 0.5311465181833638), ('C0092', 0.5591344390329238)]"
C0097,"[('C0110', 0.7415168218115825), ('C0128', 0.757533908940105), ('C0081', 0.7641725999597109)]"
C0098,"[('C0154', 0.7433561313238025), ('C0025', 0.752706639056427), ('C0056', 0.757702951721382)]"
C0099,"[('C0088', 0.7174738513630685), ('C0165', 0.7448404248241625), ('C0155', 0.7657488659633926)]"
C0100,"[('C0042', 0.6593018028146541), ('C0052', 0.6800322846317146), ('C0054', 0.7295843316873043)]"
C0101,"[('C0091', 0.5189213475880706), ('C0200', 0.5189438661258077), ('C0029', 0.5237251640037666)]"
C0102,"[('C0083', 0.5319717934109818), ('C0153', 0.542138673246436), ('C0184', 0.5476704002730365)]"
C0103,"[('C0075', 0.5278160746139633), ('C0062', 0.5367773187906164), ('C0132', 0.5444749338802093)]"
C0104,"[('C0113', 0.7473988433674047), ('C0083', 0.7608496363453401), ('C0188', 0.7632173637350023)]"
C0105,"[('C0114', 0.5242864314066825), ('C0058', 0.5323815170144681), ('C0182', 0.5328991551020152)]"
C0106,"[('C0134', 0.5222457338092273), ('C0166', 0.5265603153032785), ('C0161', 0.5269443907634248)]"
C0107,"[('C0184', 0.5274867979038866), ('C0118', 0.5286257493695319), ('C0192', 0.6666737045923389)]"
C0108,"[('C0171', 0.5234265522048593), ('C0105', 0.5302780654526408), ('C0153', 0.5772703767706362)]"
C0109,"[('C0103', 0.5035475423899686), ('C0069', 0.5047239600122955), ('C0175', 0.5227438355181447)]"
C0110,"[('C0128', 0.7037230177137306), ('C0098', 0.7415168218115825), ('C0081', 0.753075796478005)]"
C0111,"[('C0182', 0.6486585686695681), ('C0058', 0.6495492336404903), ('C0082', 0.7241786980864356)]"
C0112,"[('C0026', 0.5318894888591728), ('C0192', 0.532192329811918), ('C0133', 0.5329648939549676)]"
C0113,"[('C0083', 0.7369962275900843), ('C0169', 0.7422288462589056), ('C0105', 0.7473988433674047)]"
C0114,"[('C0170', 0.7142639532662844), ('C0182', 0.7596119327466111), ('C0058', 0.7598887981168905)]"
C0115,"[('C0146', 0.5260892270071237), ('C0093', 0.5308415511276048), ('C0186', 0.7408028307336453)]"
C0116,"[('C0194', 0.6999227440480711), ('C0117', 0.7294619047552915), ('C0189', 0.7438414641983675)]"
C0117,"[('C0047', 0.6858258541022032), ('C0117', 0.7294619047552915), ('C0194', 0.7532378721431505)]"
C0118,"[('C0114', 0.5793392450539492), ('C0105', 0.5986155159273328), ('C0147', 0.7357049764741928)]"
C0119,"[('C0127', 0.623132496420776), ('C0172', 0.6767360336077191), ('C0121', 0.7540845014070503)]"
C0120,"[('C0192', 0.5315099456479415), ('C0084', 0.532367297246406), ('C0130', 0.7309167222729138)]"
C0121,"[('C0127', 0.5570919172378167), ('C0172', 0.6304805132438217), ('C0120', 0.7540845014070503)]"
C0122,"[('C0009', 0.5248509741804008), ('C0060', 0.5735708137628843), ('C0068', 0.6785240916728966)]"
C0123,"[('C0098', 0.5321522125387377), ('C0016', 0.5328667862413055), ('C0186', 0.5839156750281405)]"
C0124,"[('C0106', 0.5136464262851219), ('C0182', 0.5183536950424055), ('C0058', 0.5206111762908825)]"
C0125,"[('C0030', 0.5152885915724195), ('C0113', 0.5269413747828353), ('C0131', 0.5292686738401824)]"
C0126,"[('C0187', 0.514826098008394), ('C0007', 0.5250611501015403), ('C0014', 0.7320281924135108)]"
C0127,"[('C0065', 0.6143568649468912), ('C0120', 0.623132496420776), ('C0172', 0.7513655393201336)]"
C0128,"[('C0111', 0.7037230177137306), ('C0081', 0.7467992315418197), ('C0098', 0.757533908940105)]"
C0129,"[('C0195', 0.5444574916331508), ('C0004', 0.6786740778201601), ('C0032', 0.7606564349719509)]"
C0130,"[('C0150', 0.5229110257865524), ('C0096', 0.5310961854145619), ('C0121', 0.7309167222729138)]"
C0131,"[('C0016', 0.6327953154327914), ('C0160', 0.6789964934906516), ('C0039', 0.7059427175912351)]"
C0132,"[('C0063', 0.5845674532619908), ('C0011', 0.6061211035222072), ('C0062', 0.6388858473057332)]"
C0133,"[('C0192', 0.5328065310653083), ('C0159', 0.5329280678830666), ('C0113', 0.5329648939549676)]"
C0134,"[('C0161', 0.5253957327568193), ('C0159', 0.6502168855016515), ('C0003', 0.7142518601989516)]"
C0135,"[('C0104', 0.5236313725163134), ('C0075', 0.5309761593957534), ('C0196', 0.6745924823479331)]"
C0136,"[('C0094', 0.5074480055206313), ('C0085', 0.5178905535509508), ('C0091', 0.5230628443585151)]"
C0137,"[('C0086', 0.5162702706426804), ('C0191', 0.527003372716957), ('C0053', 0.7211770611951887)]"
C0138,"[('C0055', 0.507970385295754), ('C0143', 0.5096203986764551), ('C0094', 0.5241629198720522)]"
C0139,"[('C0039', 0.5124130344443399), ('C0160', 0.5193280510274004), ('C0080', 0.7608127412338399)]"
C0140,"[('C0186', 0.573012239033423), ('C0008', 0.6551810950516981), ('C0006', 0.7010209673016601)]"
C0141,"[('C0018', 0.7028018019414534), ('C0076', 0.7219043856719594), ('C0170', 0.7525070194087393)]"
C0142,"[('C0177', 0.5662520722407394), ('C0111', 0.5685645793565444), ('C0186', 0.5943588051767826)]"
C0143,"[('C0022', 0.6955525964917881), ('C0023', 0.7583906854893477), ('C0029', 0.7658730675866391)]"
C0144,"[('C0157', 0.525581351400489), ('C0037', 0.531576242502078), ('C0189', 0.532759964384858)]"
C0145,"[('C0046', 0.7514192140963808), ('C0022', 0.760776738272728), ('C0173', 0.7634638758597656)]"
C0146,"[('C0086', 0.5325304990074418), ('C0143', 0.5538597303888572), ('C0177', 0.7649071087747873)]"
C0147,"[('C0105', 0.6224380344550888), ('C0114', 0.6476273159814312), ('C0119', 0.7357049764741928)]"
C0148,"[('C0100', 0.5331835006380158), ('C0013', 0.6493553655621752), ('C0005', 0.7436119067869691)]"
C0149,"[('C0038', 0.5293908270439507), ('C0054', 0.5326849913760221), ('C0166', 0.5657875556135351)]"
C0150,"[('C0084', 0.5253164897947828), ('C0121', 0.5255101670874269), ('C0096', 0.5301016058249866)]"
C0151,"[('C0033', 0.5281383548294964), ('C0053', 0.5287749855369532), ('C0111', 0.5317278085869399)]"
C0152,"[('C0119', 0.5329399542140735), ('C0174', 0.7456866654228462), ('C0002', 0.7603945926732072)]"
C0153,"[('C0012', 0.5616549992825524), ('C0105', 0.5667848524457099), ('C0109', 0.5772703767706362)]"
C0154,"[('C0025', 0.7279212806243445), ('C0099', 0.7433561313238025), ('C0056', 0.750524960557541)]"
C0155,"[('C0088', 0.7072727811141044), ('C0165', 0.7409986270102779), ('C0100', 0.7657488659633926)]"
C0156,"[('C0100', 0.5185139107170742), ('C0066', 0.52010448193261), ('C0069', 0.5280753708460915)]"
C0157,"[('C0145', 0.525581351400489), ('C0048', 0.6943760256647586), ('C0036', 0.7152577036480718)]"
C0158,"[('C0032', 0.43783709470075927), ('C0130', 0.48091323411980197), ('C0097', 0.49087776852896403)]"
C0159,"[('C0134', 0.5329280678830666), ('C0135', 0.6502168855016515), ('C0003', 0.7521120738329263)]"
C0160,"[('C0176', 0.5209414252950115), ('C0132', 0.6789964934906516), ('C0039', 0.7637008266163136)]"
C0161,"[('C0173', 0.6008950101276267), ('C0046', 0.6455713993173184), ('C0162', 0.6916997181637908)]"
C0162,"[('C0146', 0.7244106580563312), ('C0173', 0.7422044693060472), ('C0046', 0.7595885998344143)]"
C0163,"[('C0156', 0.525860671233267), ('C0100', 0.5296357842137029), ('C0149', 0.5308522556324374)]"
C0164,"[('C0133', 0.5608367690808505), ('C0087', 0.581625441075275), ('C0062', 0.5826600053908774)]"
C0165,"[('C0088', 0.6752142127926591), ('C0156', 0.7409986270102779), ('C0100', 0.7448404248241625)]"
C0166,"[('C0087', 0.5266399830524968), ('C0011', 0.531013213864891), ('C0150', 0.5657875556135351)]"
C0167,"[('C0064', 0.5280237455103912), ('C0015', 0.5298672357674279), ('C0070', 0.5307096692512754)]"
C0168,"[('C0024', 0.5054402748886044), ('C0171', 0.5065266371370596), ('C0154', 0.5172191556971478)]"
C0169,"[('C0188', 0.7213287902077352), ('C0083', 0.7303883876836834), ('C0114', 0.7422288462589056)]"
C0170,"[('C0018', 0.706308847069851), ('C0115', 0.7142639532662844), ('C0142', 0.7525070194087393)]"
C0171,"[('C0188', 0.5272016202296925), ('C0097', 0.530632941241314), ('C0154', 0.5513036695529165)]"
C0172,"[('C0122', 0.6304805132438217), ('C0120', 0.6767360336077191), ('C0128', 0.7513655393201336)]"
C0173,"[('C0022', 0.7538383548192323), ('C0046', 0.7612322834034564), ('C0146', 0.7634638758597656)]"
C0174,"[('C0148', 0.5165716082847156), ('C0153', 0.7456866654228462), ('C0002', 0.7510582329900086)]"
C0175,"[('C0055', 0.6396041034493241), ('C0091', 0.6536310886916545), ('C0200', 0.7340142772062703)]"
C0176,"[('C0030', 0.5235054509286857), ('C0039', 0.5300429684367978), ('C0043', 0.6193381526712348)]"
C0177,"[('C0086', 0.5299099628935842), ('C0143', 0.5662520722407394), ('C0147', 0.7649071087747873)]"
C0178,"[('C0143', 0.5450740998552901), ('C0186', 0.5695039324049634), ('C0044', 0.6745335851288934)]"
C0179,"[('C0101', 0.6300060295816337), ('C0054', 0.7152650343171765), ('C0087', 0.7232664120994803)]"
C0181,"[('C0049', 0.6524154673112356), ('C0190', 0.7175159460424676), ('C0040', 0.7378282132727323)]"
C0182,"[('C0082', 0.7435430459274691), ('C0115', 0.7596119327466111), ('C0058', 0.7665621436690746)]"
C0183,"[('C0027', 0.5200082062102838), ('C0155', 0.5238076749901412), ('C0118', 0.5281004851668449)]"
C0184,"[('C0153', 0.5318956774813091), ('C0119', 0.5328888830500906), ('C0103', 0.5476704002730365)]"
C0185,"[('C0017', 0.4891069013037233), ('C0051', 0.5151246030521865), ('C0037', 0.689625659264575)]"
C0186,"[('C0098', 0.5856491662351384), ('C0143', 0.5943588051767826), ('C0116', 0.7408028307336453)]"
C0187,"[('C0127', 0.514826098008394), ('C0077', 0.5700199964655035), ('C0007', 0.762148618344914)]"
C0188,"[('C0114', 0.735702112679729), ('C0105', 0.7632173637350023), ('C0083', 0.7659154141154658)]"
C0189,"[('C0194', 0.6111973108082402), ('C0118', 0.6559595436166997), ('C0117', 0.7438414641983675)]"
C0190,"[('C0040', 0.7113702138613553), ('C0182', 0.7175159460424676), ('C0049', 0.7308469018962965)]"
C0191,"[('C0086', 0.5228387033668536), ('C0116', 0.5253822776409423), ('C0138', 0.527003372716957)]"
C0192,"[('C0072', 0.5322107796613974), ('C0134', 0.5328065310653083), ('C0108', 0.6666737045923389)]"
C0193,"[('C0006', 0.5256380847713522), ('C0160', 0.5295213353764492), ('C0008', 0.5319407112198695)]"
C0194,"[('C0117', 0.6999227440480711), ('C0047', 0.7287336428705302), ('C0118', 0.7532378721431505)]"
C0195,"[('C0130', 0.5444574916331508), ('C0032', 0.5496865539995899), ('C0004', 0.6890629834246755)]"
C0196,"[('C0080', 0.5173393532504733), ('C0024', 0.5273971968961373), ('C0136', 0.6745924823479331)]"
C0197,"[('C0133', 0.5838912184429875), ('C0070', 0.6192382720271589), ('C0199', 0.7563809056912201)]"
C0198,"[('C0062', 0.5673848188562012), ('C0133', 0.5764033271214593), ('C0010', 0.7010822020671361)]"
C0199,"[('C0011', 0.5591457958652042), ('C0133', 0.5797964409661223), ('C0198', 0.7563809056912201)]"
C0200,"[('C0091', 0.7104667232384698), ('C0055', 0.723886558472592), ('C0176', 0.7340142772062703)]"
